Movie,Name,Review,Score
They Live,Sam,"mines always anti clactic never hav ea lot to say already talking about what I liked about this film I usually try to rate based on what I felt. If something I seen multiple times gotta take into acount how it stuck with me. From expericen, 4 sunlgass. rewatch, i had forgotten a lot abou tit. it doesnt necessarily stick wiht you figured id have fun watching this. averaging all those things aout 3 pairs for me.
johnson: fun?
sam: tons of fun i mean im a little conflicted. coulda gone 4. say what you think i fucking love this movie would recommend this to everyone.
",3
Don't Look Now,Sam,"I enjoyed this movie a lot. I though it was a nice little mystery thirller. Dint like donald sutherland but liked seeing him on screen liked general atomesphere rating off experience and it was. Yeah it was a great vibe. Said enough of my thoughts. give it 3 licks of d sutherland's toothpaazed.
",3
Blow Out,Sam,ive said everything I need to 3 screams (thassa good scream),3
Overlord,Sam,"I just did this. The things I had was a shitty day yesterday and when I sat down and started watching the second half of this movie that I was finishing I was having fun pretty quickly.

This movie was a breeze to watch. It wasn’t a waste of time. I'm between 2 and 3. gonna go with 3 rotten sons of bitches.",2
The Woman,Sam,"I slightly disagree I guess, but I don’t disagree with the negative things said I guess. First time same as this time. I do keep coming back to one thing I oculd go on an don I do agree with this being heavy handed. The subject matter was not treated delicately enough. I complain a lot on this podcast.

Jordan: Just for us.

Sam: I complain about movies not being interesting anymore. Done by committee. you don tsee the personality of the creator coming through. I do think this movie was interesting. I was entertained. Felt like tuning in. I felt like there was a lot about it that made it worth watching. Im gonna do a hot take. Three eaten hearts in a hand.",3
Phantasm Two,Sam,"its an experience I had a lot fun with it. You know I split these movies into two. I was very much looking forward to watching the second part. Some of the stuff with the priest I was gettting kinda bored. Sometimes jordan will bring up in a movie aaah maybe this movie wasnt for me. well this movie was for me.
you had:
suit up
bros on adventure
guns just like, getting after it
havin fun
everyone having fun with our friends
liked it
i gotta be with my bro johnson: quad quad shotguns. was gonna go tri quad shotguns. experiance of talking about movie made me go quad end of review.",4
Pumping Iron,Sam,"couple housekeepings. My dad is 69 AROOOOOOOOOOOOOO.

Wanted to point out and brag, I have won the last three movie picking guessing games. Tis last one I had like this ewird sense of prescience as it was getting started. I needed to know what movie was gonna be picked. i just know, its gonna work out. and um, god shined his beautiful light on me and i won.
jordan: bless up king

i picked this movie off the dome. its a bit of a bornig pick. nice fun pick. everyone gonna like it. thinking about when w were going to be watching it, something a little more easily digestible might be the ticket. you can then copy and paste what shag said, its exactly how i feeel. its kind of a perfect little doc in a lot of ways. like figure skating, theres a level, gymnastics, theres a level of difficulty for your routine. you need higher difficulty for a 5. not a lot of threads, arcs or any of that. it can't be a perfect score, so, im gonna just complete the package. 4 types of people who are the type of dog to bite back.
bit",4
Election,Sam,"ive said pretty much everything I wanted tos ay about this moovie. This is 5 juicy fruits out of a fishbowl. I fuckin loved this movie. The era made it so that it felt weirdly nostalgic. Felt it with too wong foo. When you watch a movie from the 90s youve never seen before and you enjoy it. so fuckin funny and th emoral complexity was so interesting and balanced so well.

cant believe i havenot seen it before gonna take 5 juicy fruites from that fishbowl.",5
Party Monster,Sam,"gotta disagree with my esteemed collegue hake. By all metrics iw ould use to judge acting, mck and seth green doing a bad jorb.

This movie fascinated me in a way I cant describe. I was tuned in. I talk all the time about weirdness and unique choices and i complain about movies not making those choices. you cant show me a movie with more weirdness and more just like... doing whatever the fuck it wants so....

on paper this one is a 3, in my heart its a 5. this averages out to 4: money
fame
success
glamours

for me.

all respect to my esteemed collegue hake but i gotta do it to him.",4
Gone in 60 Seconds,Sam,"as a newbie to this film called gone in 60 seconds, I have had a few experiences like this where you watch something from the era we grew up in and I feel like I missed it not seeing it as a kid. This just slots right in to like my, era where like my comfort movies come from. i dont mind some of the early 2000s uglyness. objectively some of it is kinda gross.

it was just so much fun and tightly constructed. lots of moving parts that come together really well. similar to oceans 11 that i really liked. gotta give it 4 lazer cut poopy dog keys that i get my jollys off with. thats the score i ma give with it.",4
Dangerous Liaisons,Sam,"comin in hard like a shotgun shot.

I thought we were having fun dangerously liasons together. I thougth we were having a dangerous liason and building to some sexy interesty naughty times.

Istead we just get mired in this stodgy bullshit melodrama that just got me so bored. hake is saying all the words in my head.

bored bored bored fuckin so bored. i wanna give it 1 double johnmalkovichwid. but cause i sex my wife i give 2.

i wrote her a letter on my own ass.

jordan: thats so fuckin hot.",2
Diamonds Are Forever,Sam,"*sam takes his shirt off*

this was fun. Like others have said. This was a fun coconut to crack into to sllurp ut app of its andioxidants water.

Comes close to so bad its good territory but ultimatesly falls short. The films that fall into that category have a thread of insanity to them and internal logic that is bizzarre and confounding but just sucked into the movie.

this is not 1 insane. this is a collection of insane jammed together some internaning most boring and drawn out.

i dunno, i dont think

watching bond is sherry from 100 year old wine casks this is scraping the bottom of the barrel for crusty wine skins. This movie Sucks Dick.

Im gonna give it 1 thirsty butthole.",1
The Bad News Bears,Sam,"ill provide the counter point and im going to give this movie…. A score after I talk about it.

*sips beer*

I was prepared to come in here and give this 2 cruds.

Base offa my experience with it.

Primarily because I was just a littl ebit bord with it. i realize that was just a production issue.

becem more interesting listening to what was said. i was in a shitty mood when i watched it.

i still think it drags a bit a ttimes but if i read the script it would pop more than i saw. bump fro 2 to 3

3 cruds that its straj;sldkfja;sldkjf 3 cruds

Jordan: tres crudos

Sam: justein crudoo",3
The Neon Demon,Sam,"*shirts off*
okay I got my shirt off ready to the review of the movie.

Unlike jordan I was very much in the mood for this movie.

To look at some slow burn imagery and connect the dots at my liesure.

I was predisposed to be generous, but, talkin bout it with you guys obviously its become clear that any leeway i wanted to give the plot was me just wanting to give it that. um.

i always feel like ive already said everything i wante dto say and i gotta be honest speak to my experience and give it 3 trifectas if that FUCKIN SONG DIDNT SUCK SO BAD AND MAKE ME DROP IT TO 2 trifectas of cannibalizm.",2
Crocodile Dundee,Sam,"*takes shirt off*
I could't get my shirt off.

In austrailian accent:

I watched the movie ""crocodile dundee* and I said ""get stuffed!

This movie was kind of a bit more boring than I expected.

Fish out of water, maybe I mixed up some action that didnt happen some silly shit that didnt happen.

in retrospect just talking abou tit and talking about how it is your enjoyment of th emovie is baout how much you are charmed by paul hogan this movie goes doen in like a cold fosters i have to give it a 4 cold fosters blown off a cupples.",4
Beavis and Butt-Head Do America,Sam,"*takes off shirt*

ok ive got my shirt off and im ready to rate the movie. Um 
this shit mostly bored me. I feel like I probably just don’t get bevis and butthead. Everything I like about this movie is then done in king of the hill, non main characters, the hyper realism thats kinda gross. similar humor but in king of the hill its funny and a little heart just enough to carry a plot. and that just isnt here for this movie.

i was mostly bored by it. i have to bump it up 1 because of the soundtrack. the soundtrack is my life. for that reason i gotta give it 2 couplalilolespirdermunkeys

shake that camper.

stuff about cum.",2
A Prairie Home Companion,Sam,"*takes jacket off*

*Takes tie off*

*unbuttons dress shirt*

I think garrisson was fully buttoned.

*takes dress shirt off*

*takes shirt off*

Allright, go ahead and pop this off real quick.

Okay.

*Takes pants*

5 failed cigarettes failed by the rolled kevin clikne.

Lemme tell you why. Oh lemme explain. the score i just gave it

Im about as primed as anyone could be seeing this movie but as i said noone see dis before

this was a time when i was rebelling against sfuf i had grown up with highschool

this was the year where i had the least interest in the stuff that my parents raised me on, phc was number 1 on my list.

okay they makin a movie who fuckign cares wat a buncha looosers.

last night, it was just a rebound effect. i was just flooded with stuff i hadnt realized so important this show as to my upbringing helped to break movie up into two nights. by the end ofth efirst night watching it was getting board tbh

it was a lil too much every singel seen is too much comin at you and i was kinda ready to be done about 50 mins in but splitting into two helped.

i alwasy gotta rate from my personal experience this show was 5 times he tryin to light it. 5 times he tryin to light it. 5 times he cant.

Jordan: who's that?

Same: talking about it with you gues. i just love it. the cinemaphotogrphyy so many great jokes and good performances.

Not a 5 on paper but a 5 in my heart.

Who?

Rolled by THE kevin kline.",5
Django,Sam,"lemme get in here.

*takes off shirt*

burpsssss

um. Alright. This is a classic example of high highs and low lows.

I was having a ton of fun but like reif mentioned earlier on like kinda dropped off in the second half and kinda just... the sound design was. absurdly bad at points, to the point of making me check out.

but at the same time, django's really shootin dese guys so i gotta give it 3 coffins filled with machine guns but now is filled with gold. i gotta say django was really shootin this guy.

he was using the beautiful art invented by christian bale of ""guncata""

pew pew noises.",3
Metropolis,Sam,"*rock takes shirt off*
*puts tie back on with suspenders*
*looks like warp tour lead*

okay cherry poppin daddies. Ew gross

metropolis. Zoot suit riiots in metropolis. Break a bottle of beer.

Lot of fun getting dvd in the mail. just like, a movie i anticipated watching a lot. i hadnt really heard of it before. i maybe heard about it but conflated with metropolis, the more famous movie.

i was very excited to watch it but ended up being very disappointed.

it doesnt take much to get me on board with a high concept speculative sci fi. a good story that would be great.

you dont want to give me that? you dont want to give me a tightly constructed narrative? thats fine.

just give me some interesting characters.

okay, you gonna give me rock with no backstory and retarted teema and uncle who's sun is getting fulshed through sewer system

how does this society fucntion, show me gears and cogs of the people so i can sink my teeth into that and it will be fine

No..?

thats fine.

i jsut need it to be really really cool to look at and aesthetically pleasing to me.

this almost ticked that box for me. some scenese tickled me a bit.

the cgi i dont want to hold that oo bad.

indelecitlaty jammed in there. the aesthteic didnt do it for me gonna give it 2 uncles who dont give a shit about their nephews.",2
Mr. Jealousy,Sam,"*sam takes of tie*
*Takes off shirt*
Alright, mr jealousy.
Mr jealousy
mr jealousy

so I realized I don’t watch a lot of relationship dramas. A good one kinda hits me really hard.

Not necessarily emotionally. But the awkwardness, scenes where he's lying, being jelous. those scenes are viscerally painful for me.

it cuts through and gives me the feeling that i know what the scene ist rying to give but is not always present.

but when i am trying to watch one it can be a pretty intense experience.

i got this with this movie. i was really there with it. i was enjoying the comedy. i was being lenient with what i didnt like. i was watching it with rose tinted glasses.

this conversation brought me down in a way was needed. i enjoyed this film and am excited to seeing noah bombach film. and knowing zina is going through his stuff im excited. im at the start of a beautuful relationship with a director i dont know that much so 4 therapy sessions with bogdonbononivich alec boolyon bogdonovich peter bogdonovich",4
Mars Attacks,Sam,"can you guys hear this

*plays its not unusual*
*takes shirt off*

*dances*
**sings review to tom jones 'its not unusual'**

It's not unusual to think mars attacks was fun.

It's not unusual to think mars attacks was dumb.

And when I see these martians shooting these lazer guns.

Its not unusual to give mars attacks 3 attacks.
",3
WR: Mysteries of the Organism,Sam,"keepin in LK
*takes off shirt*
*takes off pants*
*pops boner*

so this was an interesting watch. Its always fun watchign stuff about the soviet union with zina because she provides fun interesting context. I don’t have a lot to say because that quote about talking about art is like. something about architechture

wrigitn about music is like dancing about architecture

my eyes like to wacht this movie im going to give it three *talks with buttcrack* three salkerballexxies (said in high pitch voice) lol

Hake: Dude, you just showed us your butthole man!

",3
Monkey Bone,Sam,"*takes off shirt*

so.

*shows monkey bone*

I kinda thought I knew what I was in for. I thought this was some sort of shitty 2000s comedy I have seen a million of dem. Brendan frazier on his downswing.

Then the movie began to unfurl like an orchid and release its sweet scent.

by the time brendan frazier and dave foley were wearing matching silver suits and bob odenkirk and chris katan i was fully monkey boned up

theres a lot wrong with this movie, but what's right is tight and what's tight is fuckin tight.

the conversation we have helps to shape my score, but this shit was rubber stamped as soon as the credits rolled and dont let anybody stop me on chris katan kevin hake is the most exciting new voice in movie night club and fresh young exciting virulent kevin hake sexy voice in movienight club. 5 organs from chris katan.

",5
Magic Mike,Sam,"put the inlaws to bed.

Puts on that song from the movie.

Takes off jacket.

Checks music.

You got pony

pony plays

heres the thing about this movie. Can you hear me? I really relaly enjoyed but but I couldn’t decide wat it wanted to be. awe. god its so hot in here

takes a show of nipple

i feel lik ei had sometiin i expected from frist one but again i really liked it. strip teases

5 capfuls of gbh? non on on ononon

nipples


wifebeater off

ammi gonna gibbit 4 catfuls of gggbe

nahahahaha
amigonna gibbet 3!

shows peen
3 capfuls of ghb",3
DRUK (Another Round),Sam,"*keeps it low key*
last season was too horney, I retire from stripping.

I really loved this film I was just very touched by the dislpay of male friendship and was very, provoked, from a thought perspective by the nuanced take on alchohol and your relationship with alchohol and how it can deteriorate your life in a lot of circumstances.

i thought he toke was so interestingly spry, throughout. when ive heard discussions about whether or not this was a comedy and couldnt see why this was up in the air and then tommy fuckin... got eaten' by sharks. this is such a dramatic film until the end. 4 with a point in front for my B.A.C.

no hot takes or int. th to say just lubbit.",4
Lapsis,Sam,"I enjoyed it I wonder sometimes if a movie needs to deliver on the promise that it sets up in the first act. This one did not, im glad I watched it 2, doses.",2
The Skin I Live In,Sam,"walther mathow.

Um don’t hav ea lot.

*takes off his shirt*

*is wearing a skinsuit*

*does ""yoga""*

*fakes injury*

respiro. I don’t have a lot interesting to say about this movie that I havent already said. I was enjoying it scene by scene a lot more than i did the macro vision. my enjoyment of it was very very high, partially because of the filmmaking skikll of moldovar.

its a movie presented as a mindfuck that holds your hand the whole time. interesting dichotomey if you were to explain someone spell it out. but they just kinda tell you everything that is happening as it is happening.

doesnt make me feel any particular way whatsoever.

loved this conversation, was very activating, very stimulating. the film itself i gotta give it 3 non-consentual vaginal plasties.",3
Sorcerer,Sam,"let me build off of that with a review.

So jumping of what my collegue jordan said, expounding on what he had to say. I also liked movie.

I don’t hav ea lot else to say that I havent already said. I was in it scene to scene, for sure.

i wasnt really thinking about the macro stuff, for the vibe.

tonight some of the questions i hadnt cared to answer came to the forefront. my enjoyment in retrospect was not same as in the time.

i started closer to where jordan ended up, i was knocked down a lot by the conversation, start maybe a 4, knocked down to a 2, but then i was forced to buy this movie. cant justify buying 8 daollars for i fascniens aside its probably a 3 for me i really enjoyed it might watch it again tonight. not going to defend it but going to defend it. 3 drips of nitroglycerine",3
Shogun Assassin,Sam,"Im glad I didn’t prepare much. It would have been a cherry on top of hakes cherry that he already provided and popped.

I kind of watched it at the end of the day and was not super enthused. I was more bored with it than I thought. I was worried it was kind of boring for you dudes.

i was worried kinda to talk about how this movie doesnt bear rewatching and goign through it the second time lost its lustre and then hake went through and said watching it time 2 was the tightest shit ever. i was gonna choose 3 swords but the conversation brought me up to choosing 4 swords.",4
Driven,Sam,"Medium Raw was better than this. 0 distressed cowboy denims.

This shit was fucking trash. I would watch medium raw a 100 times and beat my own dick if I ever have to watch this movie again.",0
Exit Wounds,Sam,"this season is a good color. A nice lilac. So I'm excited to fill out this season as we get closer to the round of 64.

after watching this movie was was worried you guys were gonna be mad because it was boring at parts.

This is the first movie that i picked not knowing much about it, other than having mentioned the title probably 700 times in my life as a joke.

i was super worried, aw shit this sucked, people gonna think this is borning. this conversation was fun.

it reminded me a bit of jupiter ascending, picking this shit apart. there was such a poorly made movie to stick our fingers in the seems and pry them open and shit in and rub the shit in and smell it and think it was fuckin cool.

*jordan* is this the tom arnold bit?

white people are crazy.

I was prepared to give it a very low score. but the conversation was good so im gonna give it a pretty low score of 2 of course i rememebter wht it was 2 starchy heron sthurtz.",2
Pink Flamingoes,Sam,"*starts talking like john waters*

Well alright, ill just go and give a review.

About the movie.

Whats the movie? Its pink flamingos. Here I am and here im doing it.

I think john waters would agree and that’s me im john waters and im doing my perfect john waters voice

it felt like watching hi to you or lemon party like the fun fun internet movies i watch as a child

this has culturualy value to this movie in 1972 but that movie has disippated.

it starts in a time where stars mean nothing and nothing exists

1 dancing butthole and im john waters and thats my review of my movie.",1
Three The Hard Way,Sam,"I am in a stretch right now it's probably the busiest work stretch in a 3 day period.

Ive been in kinda a shitty mood, having to put this movie off and off and off and didn’t get a chance to watch it until today, and I had to watch it in increments.

i was fully prepared to not appreciated it or watch it or, i wasnt looking forward to watching it and it drew me in whether i liked it nort.

this is the movie im looking for in movie club.

it scratches the itches im scratchin with james bond and action and 70s black culture asthetic it goes down smooth for me

my experience watchin this movie was awesome one of the best movie club night watches ive had in a long time

i was in a shitty mood now im in an awesome mood

thank you johnson

im gonna give this 4 patriotic biker no... patriotic torturer biker titty.

patriotic topless biker tities

is that it?

i didnt bring it up any of the quallms that flawed it but i had a lot in common with it.",4
Mallrats,Sam,"Difficult for me to review this movie objectively, because this was one of the frist really good comedy movies where I was old enough to understand what was goin on.

It was basically portraying my brothers generation, It was what I looked up to, so cool, expected it to be boring or overly problematic.

instead i was having so much fun, the movie hums along from scene to scene even with jeremy london delivering flat lines.

when the movie is not funn, which it is a lot of time time when it was not funny it was having fun and i just feel like.

i feel like ther ewas not a 5 minute point in the movie where i was bored or starting to look at my phone.

i had a fucking blast this was awesome im gonna give it 4 chocolate coverated stink palms.

zina loved it",4
Ishtar,Sam,"Shag: hoopa hoppa, just wait for that jupies video, that’s all I gotta say

Sam

given my review can be dangerous business.

*singing ensues*

pretty much in agreement with hake:

I was havin fun, and I wasn’t havein fun. I was swinging wildly like a 1 to a 4 in this movie. there was a lot of potential but it was hard to susse out the pie that tasted like shit.

mostly tasted like shit, like blue chips. i was pretty harsh on and didnt give a great score. i would be bustin my shit at garey buseys antics (mcnulty (nick nulty)).

nicholas nulty.

so i htink this one could age well on me. the experience wasnt great, the conversation was great i got to go with 2 rogers and park. major friend kevin.",2
Battlefield Earth: A Saga of the Year 3000,Sam,"Clears throat.

Not gonna get into what I didn’t like about this movie, because that is well documented.

I liked the premise because I was looking forward to watching to it and the first 20 minutes was something I was interested in a lot and i had a spec of enjoyment watching thsi movie so i give a spec of a score 1 geoncider",1
Waiting to Exhale,Sam,"lemme burn this bitch down.

Spidahman, soul spidahman.

I sort of came at this from the opposite angle of some of my esteemed collegues.

I was really having fun out fo the gate. Not expecting to to be good and giving it a lot of leeway. i was enjoying it scene by scene, while leetting some fo the macro aspects ssort of wash away and not beinportant to me.

nejuoning the scene and feeling steeped in a sort of vibe that makes me feel nostolgaic makes me feel nostailci as one of part of my life at any part in in time.

i was coming into this riding pretty high and you guys brougt me back down to earth so Watch me NOW im coming in hot and its 3 enduring friendships :)

this movie had more female screen prescense than any other fuckin movie on our movie night.

holly is cool AF.",3
Predestination,Sam,"
time travel shit is not my jam. I hate connecting the red yarn, red yarn should not be sold.

You should not collect newspaper clippings

in the fullness of time we are one in the infinite void space

I didn’t like tenet that much, BUT, daddy likey this movies.

i liked the conciet, the sci-fi worldbuilding was good. part of not liking time travel is i turn my brain off when it happens.

i was just enjoying the scenes and trusting that it all fits together.

led me to have a higher opinion of the movie after then. gotta dock it a little pointy point and include 3 flaming faces including the lips. great movie choice rachel.
",3
Mamma Mia,Sam,"Hake stole my thunder thinking I'd be cynical boy turned good, but oh my god....

Sam Froze.

I'm back! Its not my internet its my computer! There is a lot I actively hated about this movie. Alot we didn't get into. I don't know if its that good. If you came into this with a cynical eye you could tear it apart. But the vbe of this movie. I love my mommy. So yea, I can't fuck around. I give this 4 TBDs.
",4
Brilliantovaya ruka,Sam,"im like. Confused as to how I feel about this movie.

I think I know how I feel from a aratings perspective. 

Theres a lot of spinning gears like stuff lost in translation, how much leeway do you give it being under the iron curtain, the whole speaking truth to power thing is not just an art movie thing... thats an everymovie thing.

viel of communist russia has a crooks being baddies and cops being goodies.

performances were funny and seeing soviet russia on film is kinda cool and kinda fun.

so i enjoyed it.

but, i gotta go 2 gowns with mother of pearl buttons.

jordan: ""robes""

zina: ""i think its a robe""

sam: ""i misspoke""

jordan: ""it is decided""

zina: ""its like a dressing gown""

sam: ""you translated it for us""

jordan: ""okay""

zina: ""does reif do this verbatim?""

sam: ""reif has never ever misstyped anything ever but he maykes more money buying and selling cryptonic cyrpo currencies""
",2
Batman: Mask of the Phantasm,Sam,"I want to jump off Jordan's challance and stir the shitpot. I don't think this is the greatest batman ever. I've heard it many times. People love detective batman, and that's great, but I love ninja batman. This batman seems a little clumsy. He is too human. Shag will tell you, you don't want vulnerable human stories, you want big ninja stuff. I love this movie. As a kid, you have the same junk food over and over and stop because it just loses its ability to give you the same pleasure and that is how DC stuff is for me. I used to watch it over and over and now it doesn't hit the same way. So,, no hot take gotta give 4 bat-a-rangs. I'll take what I used to feel and mix it with what I feel now. 5 then, 3 now, so 4.
",4
Victor/Victoria,Sam,"of the dome here we go. I broke the 2 minute barrier right before we got on tonight. Wanted you guys to know, this is when you pee for over 2 minutes straight.

When I started peeing, my lower abdomen looked like there was an alien inside of it. And it was fuckin crazy. 2 minutes and 9 seconds approximatly.

we went out to dinner and it was a long drive back but it got uromysotisis poisoning.

now onto da movies. i had such a fun time watchin this.

i was really really busy the last few days and had to squeeze this in awkward segments and that can affect the enjoyment of the movie.

i agree with some of the criticisms of the movie and would not have brought up on my own like a coward but i get the criticism.s

i love old school entertainers and musicals, and also they can be a drag, and this gave us a little hit of what i like about musicals and just being a pretty funny comedy without a lot of the music driving the story, but largely its a funny tapdancing comedy.

i love julie andrews and havent really seen her in much but mary poppins and i fuckin loved this movie i fuckin lvoed it, i gotta fuckin give it 5 small rages who was small rages norma 5 small rages from norma norma's small rages!

i was going to do four and started talking about the movie and im like no, i dont give a fuck! i love this movie.",5
Drop Dead Gorgeous,Sam,"here I got.

This shit was hot out the gate for sure.

I was belly laughing early and often, really having a great time. I felt pretty confident that I knew what I was in for, and that confidence continued for most of it perobably the first hour, but i feel like after the pageant really shoulda been wrapped up after the pageant.

everything was really fine after the pageant felt really untidy that seemed unnecessary, there was a good movie there that could have been wrapped up in minessota.

i had a blast with this movie, but those were issues.

all the retard stuf, anorexic stuff, peodophile stuff not great. gonna give 3 melted beercanhands. maybe in 3 months ill be at a 5.

Im looking forward to a rewatch of this film.
",3
The American Astronaut,Sam,"this was. Experietial. I dunno I have so many films on my list that I know im gonna love that are gonna be really well put together packages and great stories…

in many ways I come to movie club to be forced to watch shit that  I wouldn’t ordinarly see otherwise.

i struggled with this and was trepedatious about what i was getting into, once i got ready to let it wash over me, i was having a lot of fun.

this is going to stick with me, it was a unique experiecne and the more i do it the more i value the weird ass singular experiences over tightly constructed packages.

my take is lukewarm 3 little ciggies. i liked this one, thassit.",3
Bones,Sam,"*takes shirt off*

we're back with the boys.

I have my shirt off and im gonna do my review now of the movie.

So this was a confusing one. What a perfect selection to kick off boys only movie club lifetime.

I was having a lot of fun for most of the movie, and in talking about it i think i gaslit myself into enjoying this movie more than I should have.

thinking about the plot made me angry and have criticisms cause they tried to do too much. there was a lot there and that kinda makes me upset.

there was potential in multiple directions and they tried to pursue them all an ddidnt stick the landing for any of them.

i think snoop did a good job but i gotta do 2 maggot rainhouses.",2
Zombi 2 (Zombie Flesh-Eaters),Sam,"so I can offer a rebuttal to the garbage that I just heard spill out of someones trashole that the call a mouth when they say the music is mostly the detriment.

This was my favorite sountrack. The soundtrack is so sloppy and analogue. If you like sorcerer but not like tangerine dream.

you can telll its some dude with his old ass synths just some crazy weirdo doing this at his studio in the vatican or somethin.

i will agree that the gore is good sort of, its visceral it hits you.

and thats it, the rest of it was so trash and so boring and like i don't really want to get into it because there was very little that I liked about it.

it was a decent set up but just the sloggiest poorlyiest petered out and it was all over.

two tits out scuba divers.",2
Tales From the Crypt Presents: Bordello of Blood,Sam,"ill be short maybe.

i. uh. I like metaphors.

You go to a restaurant and you get the menu and you are pretty excited to order, all the ideas of the dishes are good like:

im gonna watch this dennis miller tales of the crypt like low stakes and stupid.

what it was was boring and drab and the asparagus was overcooked, some of the stuff on the menu didnt show up in the dish.

it didnt work, which doesnt always piss me off, but if it had worked i think i woulda enjoyed it. i guesss i gotta gvie it 2 pussy trains to stinky station.

i hated dennis miller. i was glad it was short.",2
Possession,Sam,"Johnson: higher than the piece of garbage ""The American Astronaut""

Sam: I sign some of those songs to myself in my head.

It was science! And Anthropology.

Second time watching this, was able to sort of relax. This was one of the best rewatch experiences I've had.

I feel like it gives you the ability to let go, from a narrative perspective.

i just wasnt stressing too hard how you get there.

which was good. i just had like alll my final projects due monday, and I've been more stressed than I have been for as long as I can remember.

This was a really great dark experience because I've been in a dark mindset, and it was cool to watch it suffer me and after the movie i felt like shit and was really strung out and in a bad mindset.

i knew i was going to start feeling better in a few days, so I was just gonna let it tug me around a bit because I knew i would be safe where it takes me. sort of not really that safe it hurts.

i think watching it a second time, you can set yourself up for an experience that is really moving in a way that was inexplicable.

that's what i want from an arthouse film. i don't have a ton of criticisms of this movie im gonna give it 4 trash feathers.",4
Misery,Sam,"you are the captain now.

Look at me I am giving the reivew now.

Good movie.

Should I say more?

Um. I fucking love this movie. It kind of is not a similar movie but it gives off a similar vibe as roesmary's baby like a horror movie that doesn’t hit you over the head with its horror movie.

it is light and breezy to watch. it just suprises you with some of the violence but ultimately its contained and tight and well written and the tone is easily digestible. that's rob schneider. he makes tight little packages. at least he did at the time.

i gotta give this one 5 lil bitchly cow corns.

after the first time i watched it, i knew i loved it. its gotta be in my top 10 horror movies of all time.",5
Someone's Watching Me!,Sam,"I am undecided. Let this review pour forth from my mmmmmmmouth.

I am really conflicted about this one because I love carpenter and I feel this movie was missing a lot that I liked about the score and the body horror stuff and violent aspects, like the sexuality was missing a bit.

i did love the portrayal of a genuinely strong protagonist in the late 70s. i like a mystery. don't feel like it panned out super convinceingly.

the ride felt a bit like her apartment, a little beige. my expectations skewed how i view the movie it was a bit weird and skewed in that carpenter way but it was cookie cutter with parts that i genuinely liked.

this conversation made me see it more positively than i did going into it. i give it 3 grabbed shards of glass. glabbed sharbs of window. 3 grabbed window shards

3 almost glabbed shards of grabs.",3
Phantom of the Paradise,Sam,"I am responsible for reviewing the movie to movie.

Just second.

Mmm.

Just hafta get the mood lighting correct dawling.

Mumble, talk about the moobie dawling.

It comes and goes. Ill keep the red light.

I usually watch these movies in the evening *oo my drink* in two stints. and it has contributing to me being most positive reviewer.

i set myself up for short stints, in a good mood, pretty relaxed, willing to give myself over to the movie.

i see things in a slightly more positive light.

we had to fit this in afternoons. kinda busy. when it happens i assume that im just gonna enjoy it less.

that didnt fuckin happen at all, this shit drew me in immediately.

in love with the shitty low rent aesthetic. what im lookin for is to go with it earnestly and give me the experience that its coming from just one phsyco going for everything.

shung chi is like a movie put together in a board of directors. i didnt know depalma had that psyco fever dream inside of him so i gotta give a quad stack beef 4 beef 4 beef 4 beef.",4
